tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
,36,76,56,,0.8,0.2,1.1111111111111112,52.22222222222222,26.666666666666668
,36,76,56,,0.85,0.15,0.8888888888888888,52.888888888888886,26.888888888888886
,36,76,56,,0.9,0.1,0.8888888888888888,54.666666666666664,27.777777777777775
,36,76,56,,0.95,0.05,0.8888888888888888,55.55555555555556,28.22222222222222
,36,76,58,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.3,0.7,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.35,0.65,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.4,0.6,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.45,0.55,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,58,,0.5,0.5,1.5555555555555556,47.77777777777778,24.666666666666668
,36,76,58,,0.55,0.45,1.5555555555555556,48.333333333333336,24.944444444444446
,36,76,58,,0.6,0.4,1.5555555555555556,48.77777777777778,25.166666666666668
,36,76,58,,0.65,0.35,1.3333333333333333,50.111111111111114,25.722222222222225
,36,76,58,,0.7,0.3,1.1111111111111112,51.111111111111114,26.111111111111114
,36,76,58,,0.75,0.25,1.1111111111111112,52.22222222222222,26.666666666666668
,36,76,58,,0.8,0.2,0.8888888888888888,53.111111111111114,27.0
,36,76,58,,0.85,0.15,0.8888888888888888,54.888888888888886,27.888888888888886
,36,76,58,,0.9,0.1,0.6666666666666666,55.77777777777778,28.22222222222222
,36,76,58,,0.95,0.05,0.4444444444444444,56.55555555555556,28.5
,36,76,60,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.3,0.7,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.35,0.65,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.4,0.6,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,60,,0.45,0.55,1.5555555555555556,47.77777777777778,24.666666666666668
,36,76,60,,0.5,0.5,1.5555555555555556,48.22222222222222,24.88888888888889
,36,76,60,,0.55,0.45,1.5555555555555556,48.888888888888886,25.22222222222222
,36,76,60,,0.6,0.4,1.3333333333333333,50.111111111111114,25.722222222222225
,36,76,60,,0.65,0.35,1.1111111111111112,51.44444444444444,26.27777777777778
,36,76,60,,0.7,0.3,0.8888888888888888,52.666666666666664,26.777777777777775
,36,76,60,,0.75,0.25,0.8888888888888888,53.22222222222222,27.055555555555554
,36,76,60,,0.8,0.2,0.8888888888888888,55.333333333333336,28.11111111111111
,36,76,60,,0.85,0.15,0.6666666666666666,56.333333333333336,28.5
,36,76,60,,0.9,0.1,0.2222222222222222,57.111111111111114,28.666666666666668
,36,76,60,,0.95,0.05,0.2222222222222222,57.888888888888886,29.055555555555554
,36,76,62,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.3,0.7,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.35,0.65,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,62,,0.4,0.6,1.5555555555555556,47.77777777777778,24.666666666666668
,36,76,62,,0.45,0.55,1.5555555555555556,48.22222222222222,24.88888888888889
,36,76,62,,0.5,0.5,1.5555555555555556,48.888888888888886,25.22222222222222
,36,76,62,,0.55,0.45,1.1111111111111112,50.666666666666664,25.88888888888889
,36,76,62,,0.6,0.4,1.1111111111111112,51.55555555555556,26.333333333333336
,36,76,62,,0.65,0.35,0.8888888888888888,52.888888888888886,26.888888888888886
,36,76,62,,0.7,0.3,0.8888888888888888,54.333333333333336,27.61111111111111
,36,76,62,,0.75,0.25,0.6666666666666666,55.666666666666664,28.166666666666664
,36,76,62,,0.8,0.2,0.6666666666666666,56.666666666666664,28.666666666666664
,36,76,62,,0.85,0.15,0.2222222222222222,57.55555555555556,28.88888888888889
,36,76,62,,0.9,0.1,0.2222222222222222,58.888888888888886,29.555555555555554
,36,76,62,,0.95,0.05,0.2222222222222222,60.111111111111114,30.166666666666668
,36,76,64,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,64,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,64,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,64,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,64,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,64,,0.3,0.7,1.5555555555555556,47.666666666666664,24.61111111111111
,36,76,64,,0.35,0.65,1.5555555555555556,47.77777777777778,24.666666666666668
,36,76,64,,0.4,0.6,1.5555555555555556,48.22222222222222,24.88888888888889
,36,76,64,,0.45,0.55,1.3333333333333333,49.111111111111114,25.222222222222225
,36,76,64,,0.5,0.5,1.1111111111111112,50.55555555555556,25.833333333333336
,36,76,64,,0.55,0.45,0.8888888888888888,51.77777777777778,26.333333333333332
,36,76,64,,0.6,0.4,0.8888888888888888,53.0,26.944444444444443
,36,76,64,,0.65,0.35,0.8888888888888888,54.888888888888886,27.888888888888886
